feature_gene,uniprot_id,tier,source,has_esm2_embedding
SPAG16,Q8N0X2,1,HGNC_symbol,False
SPAG17,Q6Q759,1,HGNC_symbol,False
SPAG4,Q9NPE6,1,HGNC_symbol,False
SPAG5,Q96R06,1,HGNC_symbol,False
SPAG5-AS1,,0,unmapped,False
SPAG6,O75602,1,HGNC_symbol,False
SPAG7,O75391,1,HGNC_symbol,False
SPAG8,Q99932,1,HGNC_symbol,True
SPAG9,O60271,1,HGNC_symbol,False
SPAM1,P38567,1,HGNC_symbol,True
SPANXA1,Q9NS26,1,HGNC_symbol,False
SPANXA2,30014,5,STRING_alias,False
SPANXB1,Q9NS25,1,HGNC_symbol,True
SPANXC,Q9NY87,1,HGNC_symbol,True
SPANXD,Q9BXN6,1,HGNC_symbol,True
SPANXN1,Q5VSR9,1,HGNC_symbol,False
SPANXN2,Q5MJ10,1,HGNC_symbol,False
SPANXN3,Q5MJ09,1,HGNC_symbol,False
SPANXN4,Q5MJ08,1,HGNC_symbol,False
SPANXN5,Q5MJ07,1,HGNC_symbol,False
SPARC,P09486,1,HGNC_symbol,True
SPARCL1,Q14515,1,HGNC_symbol,False
SPART,Q8N0X7,1,HGNC_symbol,True
SPAST,Q9UBP0,1,HGNC_symbol,True
SPATA1,Q5VX52,1,HGNC_symbol,False
SPATA12,Q7Z6I5,1,HGNC_symbol,True
SPATA13,Q96N96,1,HGNC_symbol,False
SPATA16,Q9BXB7,1,HGNC_symbol,False
SPATA17,Q96L03,1,HGNC_symbol,False
SPATA18,Q8TC71,1,HGNC_symbol,False
SPATA19,Q7Z5L4,1,HGNC_symbol,False
SPATA2,Q9UM82,1,HGNC_symbol,False
SPATA20,Q8TB22,1,HGNC_symbol,True
SPATA21,Q7Z572,1,HGNC_symbol,False
SPATA22,Q8NHS9,1,HGNC_symbol,False
SPATA24,Q86W54,1,HGNC_symbol,True
SPATA25,Q9BR10,1,HGNC_symbol,False
SPATA2L,Q8IUW3,1,HGNC_symbol,True
SPATA3,Q8NHX4,1,HGNC_symbol,True
SPATA31A1,Q5TZJ5,1,HGNC_symbol,False
SPATA31A3,Q5VYP0,1,HGNC_symbol,False
SPATA31A5,Q5VU36,1,HGNC_symbol,False
SPATA31A6,Q5VVP1,1,HGNC_symbol,False
SPATA31A7,Q8IWB4,1,HGNC_symbol,False
SPATA31C1,P0DKV0,1,HGNC_symbol,False
SPATA31C2,B4DYI2,1,HGNC_symbol,False
SPATA31D1,Q6ZQQ2,1,HGNC_symbol,False
SPATA31D3,P0C874,1,HGNC_symbol,True
SPATA31D4,Q6ZUB0,1,HGNC_symbol,True
SPATA31E1,Q6ZUB1,1,HGNC_symbol,False
SPATA31F1,Q6ZU69,1,HGNC_symbol,False
SPATA31F3,A6NFA0,1,HGNC_symbol,True
SPATA31G1,Q5VYM1,1,HGNC_symbol,False
SPATA31H1,Q68DN1,1,HGNC_symbol,False
SPATA32,Q96LK8,1,HGNC_symbol,False
SPATA33,Q96N06,1,HGNC_symbol,False
SPATA4,Q8NEY3,1,HGNC_symbol,False
SPATA41,,0,unmapped,False
SPATA45,Q537H7,1,HGNC_symbol,True
SPATA46,Q5T0L3,1,HGNC_symbol,True
SPATA5,166378,5,STRING_alias,False
SPATA5L1,79029,5,STRING_alias,False
SPATA6,Q9NWH7,1,HGNC_symbol,True
SPATA6L,Q8N4H0,1,HGNC_symbol,True
SPATA7,Q9P0W8,1,HGNC_symbol,True
SPATA9,Q9BWV2,1,HGNC_symbol,False
SPATC1,Q76KD6,1,HGNC_symbol,False
SPATC1L,Q9H0A9,1,HGNC_symbol,False
SPATS1,Q496A3,1,HGNC_symbol,False
SPATS2,Q86XZ4,1,HGNC_symbol,True
