edge_id,source_raw,target_raw,edge_type,source_hgnc,target_hgnc,source_uniprot,target_uniprot,delta,abs_delta,is_top_decile,depmap_target_gene_effect_median,target_frac_essential,target_is_common_essential,drug_target_support,refusal_reason
2.1.1.320::51300::ppi,2.1.1.320,51300,ppi,NDUFAF7,TIMMDC1,Q7L592,D3DN81,0.0,0.0,False,-0.2574606269578524,0.165296803652968,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2.1.1.320::1.6.99.3::ppi,2.1.1.320,1.6.99.3,ppi,NDUFAF7,NDUFS7,Q7L592,B3KRI2,0.0,0.0,False,-0.2789829149445919,0.1525114155251141,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1.14.13.-::1.17.3.-::ppi,1.14.13.-,1.17.3.-,ppi,CYP26B1,AOX1,B2R8M7,O14765,0.0,0.0,False,0.0265778599048635,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1.14.13.-::346673::ppi,1.14.13.-,346673,ppi,CYP26B1,STRA8,B2R8M7,Q7Z7C7,0.0,0.0,False,0.0533126082578379,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1.14.13.-::1.14.-.-::ppi,1.14.13.-,1.14.-.-,ppi,CYP26B1,CYP20A1,B2R8M7,Q4ZG61,0.0,0.0,False,0.1300962606472647,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1.14.13.-::1.14.14.1::ppi,1.14.13.-,1.14.14.1,ppi,CYP26B1,CYP4F3,B2R8M7,B7Z8Z3,0.0,0.0,False,0.0475201816635451,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1.14.13.-::1.14.14.-::ppi,1.14.13.-,1.14.14.-,ppi,CYP26B1,CYP2C9,B2R8M7,P11712,0.0,0.0,False,0.1047404187816496,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2B6H::1315::ppi,2B6H,1315,ppi,ARF5,COPB1,P26437,D3DQX0,0.0,0.0,False,-2.288268712695118,1.0,True,False,no_drug_target_evidence
1N1A::10963::ppi,1N1A,10963,ppi,FKBP4,STIP1,D3DUQ1,B4DM70,0.0,0.0,False,-0.252307806403317,0.0794520547945205,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2B6H::22818::ppi,2B6H,22818,ppi,ARF5,COPZ1,P26437,B4DDX8,0.0,0.0,False,-1.520770255246921,0.9981735159817352,True,False,no_drug_target_evidence
1JUQ::143187::ppi,1JUQ,143187,ppi,M6PR,VTI1A,A8K528,A2A307,0.0,0.0,False,0.0032015950290078,0.0009132420091324,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1JUQ::1MHQ::ppi,1JUQ,1MHQ,ppi,M6PR,GGA2,A8K528,D3DWF0,0.0,0.0,False,0.0397700413148184,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2B6H::26286::ppi,2B6H,26286,ppi,ARF5,ARFGAP3,P26437,E9PB03,0.0,0.0,False,0.0841879038986574,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2B6H::377::ppi,2B6H,377,ppi,ARF5,ARF3,P26437,A8K6G8,-0.03125,0.03125,False,-0.2229115684118632,0.0228310502283105,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::359845::ppi,1080,359845,ppi,CFTR,RFLNB,P13569,Q8N5W9,-0.03125,0.03125,False,,,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::3.4.21.4::ppi,1080,3.4.21.4,ppi,CFTR,PRSS1,P13569,A1A509,-0.03125,0.03125,False,0.0390558648642208,0.0018264840182648,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::6338::ppi,1080,6338,ppi,CFTR,SCNN1B,P13569,C5HTZ2,-0.03125,0.03125,False,0.0243294198646903,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::3875::ppi,1080,3875,ppi,CFTR,KRT18,P13569,P05783,-0.03125,0.03125,False,0.0080409616511981,0.0310502283105022,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::NP_075062.2::ppi,1080,NP_075062.2,ppi,CFTR,SLC26A6,P13569,B4DMZ1,-0.03125,0.03125,False,0.0094212461971702,0.0009132420091324,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::10013::ppi,1080,10013,ppi,CFTR,HDAC6,P13569,O94975,-0.03125,0.03125,False,-0.0275380683549888,0.0,False,True,downstream_gene_not_common_essential
1080::11330::ppi,1080,11330,ppi,CFTR,CTRC,P13569,A8K082,-0.03125,0.03125,False,0.0033844050250755,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::22802::ppi,1080,22802,ppi,CFTR,CLCA4,P13569,A8MQC9,-0.03125,0.03125,False,-0.0590090565795577,0.0018264840182648,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1N1A::55664::ppi,1N1A,55664,ppi,FKBP4,CDC37L1,D3DUQ1,B1AL70,-0.03125,0.03125,False,0.0981179621266073,0.0018264840182648,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1N1A::1Y9R::ppi,1N1A,1Y9R,ppi,FKBP4,NR3C2,D3DUQ1,B0ZBF5,-0.03125,0.03125,False,0.03820155913725,0.0,False,True,downstream_gene_not_common_essential
1N1A::11146::ppi,1N1A,11146,ppi,FKBP4,GLMN,D3DUQ1,Q5VVC3,-0.03125,0.03125,False,-0.2825961097847546,0.1963470319634703,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2B6H::23527::ppi,2B6H,23527,ppi,ARF5,ACAP2,P26437,A8K2V4,-0.03125,0.03125,False,-0.0329083807073028,0.0063926940639269,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2B6H::8729::ppi,2B6H,8729,ppi,ARF5,GBF1,P26437,Q149P0,-0.03125,0.03125,False,-1.0321860033813048,0.9954337899543378,True,False,no_drug_target_evidence
