cell_idx,predicted_mechanism,confidence,prob_drug_efflux,prob_clonal_evolution,prob_immune_escape,prob_microenvironmental
13988,immune_escape,0.27059618,0.2502864,0.23398294,0.27059618,0.24513446
13989,immune_escape,0.2686128,0.25047958,0.23521996,0.2686128,0.24568762
13990,immune_escape,0.2719609,0.24921721,0.23414186,0.2719609,0.24467996
13991,immune_escape,0.27151015,0.24899405,0.23478322,0.27151015,0.24471253
13992,immune_escape,0.2716032,0.24911195,0.2346068,0.2716032,0.24467804
13993,immune_escape,0.27004233,0.24912438,0.23595178,0.27004233,0.24488151
13994,immune_escape,0.2712495,0.24951178,0.23447262,0.2712495,0.24476616
13995,immune_escape,0.2701791,0.24909323,0.23586671,0.2701791,0.24486093
13996,immune_escape,0.2711334,0.24940208,0.23470896,0.2711334,0.24475555
13997,immune_escape,0.27146173,0.24900566,0.23480976,0.27146173,0.24472283
13998,immune_escape,0.2716661,0.24909665,0.23456244,0.2716661,0.24467479
13999,immune_escape,0.270407,0.24904644,0.23572025,0.270407,0.24482633
14000,immune_escape,0.26997337,0.24913748,0.23599313,0.26997337,0.24489598
14001,immune_escape,0.27150333,0.2489957,0.23478699,0.27150333,0.24471399
14002,immune_escape,0.26822942,0.2493727,0.23708515,0.26822942,0.24531269
14003,immune_escape,0.27016225,0.24909703,0.23587728,0.27016225,0.24486339
14004,immune_escape,0.2714711,0.24953656,0.23431562,0.2714711,0.24467674
14005,immune_escape,0.26797745,0.24906129,0.2378163,0.26797745,0.24514496
14006,immune_escape,0.27133203,0.24903801,0.2348795,0.27133203,0.24475047
14007,immune_escape,0.27131972,0.2490412,0.23488598,0.27131972,0.24475312
14008,immune_escape,0.2712404,0.2493773,0.23469661,0.2712404,0.24468566
14009,immune_escape,0.2678296,0.24942972,0.23735105,0.2678296,0.24538964
14010,immune_escape,0.27133876,0.24946116,0.23451765,0.27133876,0.24468248
14011,immune_escape,0.2712513,0.24905938,0.23492144,0.2712513,0.24476786
