2026-04-11 00:25:17 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:18 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 39/200 — train_loss=0.9061 val_loss=1.0663 recon=0.6925 kl=0.2136 kl_weight=1.0000
2026-04-11 00:25:18 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 40/200 — train_loss=0.8870 val_loss=1.0671 recon=0.6844 kl=0.2026 kl_weight=1.0000
2026-04-11 00:25:19 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 41/200 — train_loss=0.8890 val_loss=1.0607 recon=0.6831 kl=0.2059 kl_weight=1.0000
2026-04-11 00:25:20 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:20 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 42/200 — train_loss=0.8560 val_loss=1.0536 recon=0.6550 kl=0.2010 kl_weight=1.0000
2026-04-11 00:25:21 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:21 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 43/200 — train_loss=0.8717 val_loss=1.0439 recon=0.6760 kl=0.1958 kl_weight=1.0000
2026-04-11 00:25:22 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:23 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 44/200 — train_loss=0.8665 val_loss=1.0377 recon=0.6715 kl=0.1950 kl_weight=1.0000
2026-04-11 00:25:23 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:24 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 45/200 — train_loss=0.8604 val_loss=1.0337 recon=0.6731 kl=0.1873 kl_weight=1.0000
2026-04-11 00:25:25 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:25 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 46/200 — train_loss=0.8582 val_loss=1.0239 recon=0.6706 kl=0.1875 kl_weight=1.0000
2026-04-11 00:25:26 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:26 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 47/200 — train_loss=0.8521 val_loss=1.0137 recon=0.6645 kl=0.1875 kl_weight=1.0000
2026-04-11 00:25:27 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:28 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 48/200 — train_loss=0.8281 val_loss=1.0079 recon=0.6400 kl=0.1881 kl_weight=1.0000
2026-04-11 00:25:29 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:25:29 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 49/200 — train_loss=0.8424 val_loss=1.0059 recon=0.6557 kl=0.1867 kl_weight=1.0000
